,Week,Week_Numer,Gross,Gross_Diff,Pot_Gross,Potential_Gross_Percent,Average_Paid_Ticket,Top_Ticket,Seats_Sold,Total_Seats,Performances,Capacity,Capacity_Diff,Show_Name
18,3/24/13,12,"$647,429","$-45,671","$1,313,805",49.28%,$94.71,$175.00,6836,11072,8,61.7%,-3.9%,Cat On A Hot Tin Roof
19,3/31/13,13,"$721,456","$74,027","$1,141,550",63.20%,$94.47,$175.00,7637,9688,7,78.8%,17.1%,Cat On A Hot Tin Roof
7,1/04/04,1,"$514,894","$44,688","$593,281",86.79%,$74.87,$86.25,6877,8152,8,84.4%,8.1%,Cat On A Hot Tin Roof 2003 2004
8,1/11/04,2,"$373,810","$-141,084","$593,281",63.01%,$69.66,$86.25,5366,8152,8,65.8%,-18.6%,Cat On A Hot Tin Roof 2003 2004
9,1/18/04,3,"$382,793","$8,983","$593,281",64.52%,$72.14,$86.25,5306,8152,8,65.1%,-0.7%,Cat On A Hot Tin Roof 2003 2004
10,1/25/04,4,"$326,074","$-56,719","$593,281",54.96%,$71.32,$86.25,4572,8152,8,56.1%,-9.0%,Cat On A Hot Tin Roof 2003 2004
11,2/01/04,5,"$297,770","$-28,304","$593,281",50.19%,$70.08,$86.25,4249,8152,8,52.1%,-4.0%,Cat On A Hot Tin Roof 2003 2004
12,2/08/04,6,"$297,535",$-235,"$593,281",50.15%,$68.05,$86.25,4372,8152,8,53.6%,1.5%,Cat On A Hot Tin Roof 2003 2004
13,2/15/04,7,"$384,273","$86,738","$593,281",64.77%,$71.79,$86.25,5353,8152,8,65.7%,12.1%,Cat On A Hot Tin Roof 2003 2004
14,2/22/04,8,"$381,576","$-2,697","$593,281",64.32%,$63.36,$86.25,6022,8152,8,73.9%,8.2%,Cat On A Hot Tin Roof 2003 2004
15,2/29/04,9,"$223,053","$-158,523","$593,281",37.60%,$56.54,$86.25,3945,8152,8,48.4%,-25.5%,Cat On A Hot Tin Roof 2003 2004
16,3/07/04,10,"$213,844","$-9,209","$593,281",36.04%,$57.94,$86.25,3691,8152,8,45.3%,-3.1%,Cat On A Hot Tin Roof 2003 2004
7,3/13/11,11,"$284,359","$284,359","$522,885",54.38%,$74.32,$200.00,3826,4266,3,89.7%,0.0%,Catch Me If You Can
8,3/20/11,12,"$602,935","$318,576","$1,163,185",51.83%,$63.42,$200.00,9507,9954,7,95.5%,95.5%,Catch Me If You Can
9,3/27/11,13,"$630,207","$27,272","$1,163,185",54.18%,$67.51,$200.00,9335,9954,7,93.8%,-1.7%,Catch Me If You Can
10,4/03/11,14,"$662,623","$32,416","$1,323,260",50.08%,$64.80,$200.00,10225,11376,8,89.9%,-3.9%,Catch Me If You Can
11,4/10/11,15,"$544,957","$-117,666","$1,163,185",46.85%,$50.43,$200.00,10807,11376,8,95.0%,5.1%,Catch Me If You Can
12,4/17/11,16,"$717,349","$172,392","$1,323,260",54.21%,$71.00,$200.00,10104,11376,8,88.8%,-6.2%,Catch Me If You Can
13,4/24/11,17,"$918,493","$201,144","$1,323,260",69.41%,$83.35,$200.00,11020,11376,8,96.9%,8.1%,Catch Me If You Can
14,5/01/11,18,"$757,653","$-160,840","$1,323,260",57.26%,$78.16,$200.00,9693,11376,8,85.2%,-11.7%,Catch Me If You Can
15,5/08/11,19,"$732,580","$-25,073","$1,323,260",55.36%,$74.13,$200.00,9882,11376,8,86.9%,1.7%,Catch Me If You Can
16,5/15/11,20,"$654,175","$-78,405","$1,323,260",49.44%,$66.95,$200.00,9771,11376,8,85.9%,-1.0%,Catch Me If You Can
17,5/22/11,21,"$753,988","$99,813","$1,323,260",56.98%,$73.88,$200.00,10206,11376,8,89.7%,3.8%,Catch Me If You Can
18,5/29/11,22,"$674,258","$-79,730","$1,323,260",50.95%,$68.09,$200.00,9903,11376,8,87.1%,-2.6%,Catch Me If You Can
19,6/05/11,23,"$543,669","$-130,589","$1,323,260",41.09%,$59.20,$200.00,9184,11376,8,80.7%,-6.4%,Catch Me If You Can
20,6/12/11,24,"$607,783","$64,114","$1,323,260",45.93%,$60.96,$200.00,9971,11376,8,87.6%,6.9%,Catch Me If You Can
21,6/19/11,25,"$805,542","$197,759","$1,323,260",60.88%,$76.59,$200.00,10517,11376,8,92.4%,4.8%,Catch Me If You Can
22,6/26/11,26,"$775,977","$-29,565","$1,323,260",58.64%,$73.21,$200.00,10600,11376,8,93.2%,0.8%,Catch Me If You Can
23,7/03/11,27,"$698,495","$-77,482","$1,323,260",52.79%,$68.30,$200.00,10227,11376,8,89.9%,-3.3%,Catch Me If You Can
24,7/10/11,28,"$676,804","$-21,691","$1,323,260",51.15%,$72.75,$200.00,9303,11376,8,81.8%,-8.1%,Catch Me If You Can
25,7/17/11,29,"$705,464","$28,660","$1,323,260",53.31%,$75.36,$200.00,9361,11376,8,82.3%,0.5%,Catch Me If You Can
26,7/24/11,30,"$648,763","$-56,701","$1,323,260",49.03%,$73.64,$200.00,8810,11376,8,77.4%,-4.9%,Catch Me If You Can
27,7/31/11,31,"$682,180","$33,417","$1,323,260",51.55%,$71.51,$200.00,9539,11376,8,83.9%,6.5%,Catch Me If You Can
28,8/07/11,32,"$640,176","$-42,004","$1,323,260",48.38%,$69.79,$200.00,9173,11376,8,80.6%,-3.3%,Catch Me If You Can
29,8/14/11,33,"$617,461","$-22,715","$1,323,260",46.66%,$71.00,$200.00,8697,11376,8,76.5%,-4.1%,Catch Me If You Can
30,8/21/11,34,"$592,998","$-24,463","$1,323,260",44.81%,$69.72,$200.00,8505,11376,8,74.8%,-1.7%,Catch Me If You Can
31,8/28/11,35,"$334,136","$-258,862","$815,000",41.00%,$65.67,$200.00,5088,7110,5,71.6%,-3.2%,Catch Me If You Can
32,9/04/11,36,"$600,545","$266,409","$1,323,260",45.38%,$63.77,$200.00,9417,11376,8,82.8%,11.2%,Catch Me If You Can
7,1/01/17,1,"$1,723,569","$762,531","$1,605,038",107.38%,$139.99,$197.00,12312,12375,9,99.5%,9.0%,Cats
8,1/08/17,2,"$1,034,653","$-688,916","$1,426,700",72.52%,$97.21,$197.00,10644,11000,8,96.8%,-2.7%,Cats
9,1/15/17,3,"$895,188","$-139,465","$1,426,700",62.75%,$98.21,$197.00,9115,11000,8,82.9%,-13.9%,Cats
10,1/22/17,4,"$790,504","$-104,684","$1,426,700",55.41%,$83.32,$197.00,9488,11000,8,86.3%,3.4%,Cats
11,1/29/17,5,"$802,077","$11,573","$1,426,700",56.22%,$86.55,$197.00,9267,11000,8,84.2%,-2.1%,Cats
12,2/05/17,6,"$703,333","$-98,744","$1,426,700",49.30%,$84.71,$197.00,8303,11000,8,75.5%,-8.7%,Cats
13,2/12/17,7,"$646,653","$-56,680","$1,426,700",45.33%,$87.56,$197.00,7385,11000,8,67.1%,-8.4%,Cats
14,2/19/17,8,"$878,264","$231,611","$1,426,700",61.56%,$93.34,$197.00,9409,11000,8,85.5%,18.4%,Cats
15,2/26/17,9,"$747,218","$-131,046","$1,426,700",52.37%,$87.22,$197.00,8567,11000,8,77.9%,-7.6%,Cats
16,3/05/17,10,"$683,177","$-64,041","$1,426,700",47.89%,$82.73,$197.00,8258,11000,8,75.1%,-2.8%,Cats
17,3/12/17,11,"$741,436","$58,259","$1,426,700",51.97%,$84.97,$197.00,8726,11000,8,79.3%,4.2%,Cats
18,3/19/17,12,"$885,097","$143,661","$1,426,700",62.04%,$90.20,$197.00,9813,11000,8,89.2%,9.9%,Cats
19,3/26/17,13,"$806,790","$-78,307","$1,426,700",56.55%,$86.45,$197.00,9332,11000,8,84.8%,-4.4%,Cats
20,4/02/17,14,"$762,710","$-44,080","$1,426,700",53.46%,$85.83,$197.00,8886,11000,8,80.8%,-4.0%,Cats
21,4/09/17,15,"$822,373","$59,663","$1,426,700",57.64%,$88.49,$197.00,9293,11000,8,84.5%,3.7%,Cats
22,4/16/17,16,"$1,080,104","$257,731","$1,426,700",75.71%,$100.93,$197.00,10701,11000,8,97.3%,12.8%,Cats
23,4/23/17,17,"$858,647","$-221,457","$1,426,700",60.18%,$91.43,$197.00,9391,11000,8,85.4%,-11.9%,Cats
24,4/30/17,18,"$714,382","$-144,265","$1,426,700",50.07%,$88.57,$197.00,8066,11000,8,73.3%,-12.1%,Cats
25,5/07/17,19,"$669,519","$-44,863","$1,426,700",46.93%,$85.61,$197.00,7821,11000,8,71.1%,-2.2%,Cats
26,5/14/17,20,"$730,829","$61,310","$1,426,700",51.23%,$87.04,$197.00,8396,11000,8,76.3%,5.2%,Cats
27,5/21/17,21,"$733,234","$2,405","$1,426,700",51.39%,$86.22,$197.00,8513,11000,8,77.4%,1.1%,Cats
28,5/28/17,22,"$821,766","$88,532","$1,426,700",57.60%,$90.72,$197.00,9058,11000,8,82.3%,4.9%,Cats
29,6/04/17,23,"$685,888","$-135,878","$1,426,700",48.08%,$81.02,$197.00,8466,11000,8,77.0%,-5.3%,Cats
30,6/11/17,24,"$722,319","$36,431","$1,426,700",50.63%,$84.15,$197.00,8584,11000,8,78.0%,1.0%,Cats
31,6/18/17,25,"$759,699","$37,380","$1,426,700",53.25%,$86.13,$197.00,8820,11000,8,80.2%,2.2%,Cats
32,6/25/17,26,"$757,687","$-2,012","$1,426,700",53.11%,$88.20,$197.00,8591,11000,8,78.1%,-2.1%,Cats
33,7/02/17,27,"$791,756","$34,069","$1,426,700",55.50%,$86.00,$197.00,9206,11000,8,83.7%,5.6%,Cats
34,7/09/17,28,"$772,603","$-19,153","$1,426,700",54.15%,$88.68,$197.00,8712,11000,8,79.2%,-4.5%,Cats
35,7/16/17,29,"$814,825","$42,222","$1,426,700",57.11%,$85.77,$197.00,9489,11000,8,86.3%,7.1%,Cats
36,7/23/17,30,"$786,775","$-28,050","$1,426,700",55.15%,$86.60,$197.00,9085,11000,8,82.6%,-3.7%,Cats
37,7/30/17,31,"$847,012","$60,237","$1,426,700",59.37%,$87.87,$197.00,9639,11000,8,87.6%,5.0%,Cats
38,8/06/17,32,"$817,711","$-29,301","$1,426,700",57.31%,$89.08,$197.00,9179,11000,8,83.4%,-4.2%,Cats
39,8/13/17,33,"$824,015","$6,304","$1,426,700",57.76%,$89.78,$197.00,9178,11000,8,83.4%,0.0%,Cats
40,8/20/17,34,"$728,668","$-95,347","$1,426,700",51.07%,$87.69,$197.00,8310,11000,8,75.5%,-7.9%,Cats
41,8/27/17,35,"$636,225","$-92,443","$1,426,700",44.59%,$85.69,$197.00,7425,11000,8,67.5%,-8.0%,Cats
42,9/03/17,36,"$641,311","$5,086","$1,426,700",44.95%,$85.10,$197.00,7536,11000,8,68.5%,1.0%,Cats
43,9/10/17,37,"$706,122","$64,811","$1,426,700",49.49%,$81.26,$197.00,8690,11000,8,79.0%,10.5%,Cats
44,9/17/17,38,"$758,050","$51,928","$1,426,700",53.13%,$80.36,$197.00,9433,11000,8,85.8%,6.8%,Cats
45,9/24/17,39,"$570,470","$-187,580","$1,426,700",39.99%,$81.14,$197.00,7031,11000,8,63.9%,-21.9%,Cats
46,10/01/17,40,"$578,075","$7,605","$1,426,700",40.52%,$80.27,$197.00,7202,11000,8,65.5%,1.6%,Cats
47,10/08/17,41,"$748,267","$170,192","$1,426,700",52.45%,$87.10,$197.00,8591,11000,8,78.1%,12.6%,Cats
48,10/15/17,42,"$773,571","$25,304","$1,426,700",54.22%,$83.01,$197.00,9319,11000,8,84.7%,6.6%,Cats
49,10/22/17,43,"$720,972","$-52,599","$1,426,700",50.53%,$83.19,$197.00,8667,11000,8,78.8%,-5.9%,Cats
50,10/29/17,44,"$712,250","$-8,722","$1,426,700",49.92%,$80.49,$197.00,8849,11000,8,80.4%,1.6%,Cats
51,11/05/17,45,"$706,999","$-5,251","$1,426,700",49.55%,$80.85,$197.00,8745,11000,8,79.5%,-0.9%,Cats
52,11/12/17,46,"$792,723","$85,724","$1,426,700",55.56%,$87.30,$197.00,9080,11000,8,82.5%,3.0%,Cats
53,11/19/17,47,"$753,434","$-39,289","$1,426,700",52.81%,$88.43,$197.00,8520,11000,8,77.5%,-5.0%,Cats
54,11/26/17,48,"$1,023,097","$269,663","$1,426,700",71.71%,$109.86,$197.00,9313,11000,8,84.7%,7.2%,Cats
55,12/03/17,49,"$778,991","$-244,106","$1,426,700",54.60%,$93.76,$197.00,8308,11000,8,75.5%,-9.2%,Cats
56,12/10/17,50,"$898,993","$120,002","$1,426,700",63.01%,$97.75,$197.00,9197,11000,8,83.6%,8.1%,Cats
57,12/17/17,51,"$943,084","$44,091","$1,426,700",66.10%,$101.21,$197.00,9318,11000,8,84.7%,1.1%,Cats
58,12/24/17,52,"$1,033,958","$90,874","$1,426,700",72.47%,$111.20,$197.00,9298,11000,8,84.5%,-0.2%,Cats
59,12/31/17,0,"$1,826,206","$792,248","$1,605,038",113.78%,$147.17,$197.00,12409,12375,9,100.3%,15.8%,Cats
7,1/03/93,1,"$251,203","$111,304",$0,,$0.00,$0.00,7375,0,8,0.0%,0.0%,Catskills On Broadway
7,1/06/13,1,"$509,381","$-48,987","$979,036",52.03%,$75.17,$193.50,6776,8360,8,81.1%,-1.3%,Chaplin
7,1/07/18,1,"$1,277,069","$-777,808","$1,390,624",91.83%,$107.51,$233.00,11879,11968,8,99.3%,-0.4%,Charlie And The Chocolate Factory
8,1/14/18,2,"$1,234,419","$-42,650","$1,390,624",88.77%,$112.70,$233.00,10953,11968,8,91.5%,-7.8%,Charlie And The Chocolate Factory
7,1/01/89,1,"$199,353","$140,288",$0,,$0.00,$0.00,7586,0,8,0.0%,0.0%,Checkmates
7,4/17/88,16,"$325,624","$325,624",$0,,$0.00,$0.00,7904,0,7,0.0%,0.0%,Chess
8,4/24/88,17,"$308,683","$-16,941",$0,,$0.00,$0.00,8594,0,7,0.0%,0.0%,Chess
9,5/01/88,18,"$321,964","$13,281",$0,,$0.00,$0.00,7965,0,7,0.0%,0.0%,Chess
10,5/08/88,19,"$363,525","$41,561",$0,,$0.00,$0.00,9360,0,8,0.0%,0.0%,Chess
11,5/15/88,20,"$376,119","$12,594",$0,,$0.00,$0.00,9845,0,8,0.0%,0.0%,Chess
12,5/22/88,21,"$391,112","$14,993",$0,,$0.00,$0.00,10267,0,8,0.0%,0.0%,Chess
13,5/29/88,22,"$329,016","$-62,096",$0,,$0.00,$0.00,8832,0,8,0.0%,0.0%,Chess
14,6/05/88,23,"$323,859","$-5,157",$0,,$0.00,$0.00,8750,0,8,0.0%,0.0%,Chess
15,6/12/88,24,"$372,221","$48,362",$0,,$0.00,$0.00,10032,0,8,0.0%,0.0%,Chess
16,6/19/88,25,"$341,522","$-30,699",$0,,$0.00,$0.00,9398,0,8,0.0%,0.0%,Chess
17,6/26/88,26,"$352,698","$11,176",$0,,$0.00,$0.00,9779,0,8,0.0%,0.0%,Chess
7,1/07/18,1,"$770,639","$-489,609","$958,024",80.44%,$106.40,$238.00,7243,8640,8,83.8%,-17.2%,Chicago
8,1/14/18,2,"$655,713","$-114,926","$958,024",68.44%,$85.22,$187.00,7694,8640,8,89.1%,5.3%,Chicago
9,1/21/18,3,"$592,356","$-63,357","$958,024",61.83%,$80.54,$187.00,7355,8640,8,85.1%,-4.0%,Chicago
10,1/28/18,4,"$583,675","$-8,681","$958,024",60.92%,$79.80,$187.00,7314,8640,8,84.7%,-0.4%,Chicago
11,2/04/18,5,"$514,131","$-69,544","$958,024",53.67%,$77.36,$187.00,6646,8640,8,76.9%,-7.8%,Chicago
12,2/11/18,6,"$485,289","$-28,842","$958,024",50.66%,$80.59,$187.00,6022,8640,8,69.7%,-7.2%,Chicago
13,2/18/18,7,"$709,932","$224,643","$958,024",74.10%,$91.10,$203.00,7793,8640,8,90.2%,20.5%,Chicago
14,2/25/18,8,"$617,205","$-92,727","$958,024",64.42%,$85.77,$203.00,7196,8640,8,83.3%,-6.9%,Chicago
15,3/04/18,9,"$521,522","$-95,683","$958,024",54.44%,$80.16,$187.00,6506,8640,8,75.3%,-8.0%,Chicago
16,3/11/18,10,"$615,363","$93,841","$958,024",64.23%,$82.00,$187.00,7504,8640,8,86.9%,11.6%,Chicago
17,3/18/18,11,"$676,135","$60,772","$958,024",70.58%,$87.79,$187.00,7702,8640,8,89.1%,2.2%,Chicago
18,3/25/18,12,"$677,680","$1,545","$958,024",70.74%,$87.22,$187.00,7770,8640,8,89.9%,0.8%,Chicago
19,4/01/18,13,"$852,020","$174,340","$958,024",88.94%,$99.64,$203.00,8551,8640,8,99.0%,9.1%,Chicago
20,4/08/18,14,"$818,179","$-33,841","$958,024",85.40%,$100.72,$203.00,8123,8640,8,94.0%,-5.0%,Chicago
21,4/15/18,15,"$652,834","$-165,345","$958,024",68.14%,$82.94,$187.00,7871,8640,8,91.1%,-2.9%,Chicago
22,4/22/18,16,"$700,234","$47,400","$958,024",73.09%,$89.08,$187.00,7861,8640,8,91.0%,-0.1%,Chicago
23,4/29/18,17,"$702,819","$2,585","$958,024",73.36%,$88.74,$187.00,7920,8640,8,91.7%,0.7%,Chicago
24,5/06/18,18,"$696,668","$-6,151","$958,024",72.72%,$87.83,$187.00,7932,8640,8,91.8%,0.1%,Chicago
25,5/13/18,19,"$729,491","$32,823","$958,024",76.15%,$87.50,$187.00,8337,8640,8,96.5%,4.7%,Chicago
26,5/20/18,20,"$762,135","$32,644","$958,024",79.55%,$89.23,$187.00,8541,8640,8,98.9%,2.4%,Chicago
27,5/27/18,21,"$750,233","$-11,902","$958,024",78.31%,$91.09,$203.00,8236,8640,8,95.3%,-3.6%,Chicago
28,6/03/18,22,"$651,540","$-98,692","$958,024",68.01%,$87.47,$203.00,7449,8640,8,86.2%,-9.1%,Chicago
29,6/10/18,23,"$677,948","$26,407","$958,024",70.77%,$86.21,$187.00,7864,8640,8,91.0%,4.8%,Chicago
30,6/17/18,24,"$646,555","$-31,393","$958,024",67.49%,$86.48,$187.00,7476,8640,8,86.5%,-4.5%,Chicago
31,6/24/18,25,"$672,384","$25,829","$958,024",70.18%,$87.60,$187.00,7676,8640,8,88.8%,2.3%,Chicago
32,7/01/18,26,"$637,079","$-35,305","$958,024",66.50%,$86.72,$187.00,7346,8640,8,85.0%,-3.8%,Chicago
33,7/08/18,27,"$635,011","$-2,068","$958,024",66.28%,$84.71,$187.00,7496,8640,8,86.8%,1.8%,Chicago
34,7/15/18,28,"$660,476","$25,465","$958,024",68.94%,$86.20,$187.00,7662,8640,8,88.7%,1.9%,Chicago
35,7/22/18,29,"$684,807","$24,331","$958,024",71.48%,$85.86,$187.00,7976,8640,8,92.3%,3.6%,Chicago
36,7/29/18,30,"$722,218","$37,411","$958,024",75.39%,$89.02,$187.00,8113,8640,8,93.9%,1.6%,Chicago
37,8/05/18,31,"$705,292","$-16,925","$958,024",73.62%,$87.28,$187.00,8081,8640,8,93.5%,-0.4%,Chicago
38,8/12/18,32,"$678,875","$-26,418","$958,024",70.86%,$86.01,$187.00,7893,8640,8,91.4%,-2.1%,Chicago
39,8/19/18,33,"$692,435","$13,560","$958,024",72.28%,$86.04,$187.00,8048,8640,8,93.1%,1.7%,Chicago
40,8/26/18,34,"$625,397","$-67,038","$958,024",65.28%,$83.13,$187.00,7523,8640,8,87.1%,-6.0%,Chicago
7,3/25/18,12,"$247,123","$247,123","$626,730",39.43%,$56.91,$247.00,4342,5020,5,86.5%,0.0%,Children Of A Lesser God
8,4/01/18,13,"$363,848","$116,725","$993,576",36.62%,$57.30,$247.00,6350,8032,8,79.1%,79.1%,Children Of A Lesser God
9,4/08/18,14,"$375,274","$11,426","$993,576",37.77%,$53.87,$247.00,6966,8032,8,86.7%,7.6%,Children Of A Lesser God
10,4/15/18,15,"$230,396","$-144,878","$993,576",23.19%,$35.06,$247.00,6571,8032,8,81.8%,-4.9%,Children Of A Lesser God
11,4/22/18,16,"$354,180","$123,784","$993,576",35.65%,$58.13,$247.00,6093,8032,8,75.9%,-5.9%,Children Of A Lesser God
12,4/29/18,17,"$335,474","$-18,706","$993,576",33.76%,$56.55,$247.00,5932,8032,8,73.9%,-2.0%,Children Of A Lesser God
13,5/06/18,18,"$297,762","$-37,712","$993,576",29.97%,$52.85,$247.00,5634,8032,8,70.1%,-3.8%,Children Of A Lesser God
14,5/13/18,19,"$350,755","$52,993","$993,576",35.30%,$53.85,$247.00,6514,8032,8,81.1%,11.0%,Children Of A Lesser God
15,5/20/18,20,"$411,261","$60,506","$993,576",41.39%,$57.75,$247.00,7121,8032,8,88.7%,7.6%,Children Of A Lesser God
16,5/27/18,21,"$458,191","$46,930","$993,576",46.12%,$65.10,$247.00,7038,8032,8,87.6%,-1.1%,Children Of A Lesser God
7,1/03/16,1,"$697,576","$86,801","$1,033,941",67.47%,$131.32,$350.00,5312,7483,7,71.0%,3.4%,China Doll
8,1/10/16,2,"$631,375","$-66,201","$823,045",76.71%,$129.22,$275.00,4886,6414,6,76.2%,5.2%,China Doll
9,1/17/16,3,"$552,601","$-78,774","$834,620",66.21%,$121.75,$275.00,4539,6414,6,70.8%,-5.4%,China Doll
10,1/24/16,4,"$358,928","$-193,673","$670,438",53.54%,$95.13,$275.00,3773,5345,5,70.6%,-0.2%,China Doll
11,1/31/16,5,"$658,216","$299,288","$952,503",69.10%,$103.72,$275.00,6346,7483,7,84.8%,14.2%,China Doll
7,5/31/92,22,"$172,242","$172,242",$0,,$0.00,$0.00,4051,0,7,0.0%,0.0%,Chinese Coffee Salome
8,6/07/92,23,"$163,350","$-8,892",$0,,$0.00,$0.00,3969,0,7,0.0%,0.0%,Chinese Coffee Salome
9,6/14/92,24,"$144,288","$-19,062",$0,,$0.00,$0.00,3527,0,6,0.0%,0.0%,Chinese Coffee Salome
10,6/21/92,25,"$119,063","$-25,225",$0,,$0.00,$0.00,2894,0,5,0.0%,0.0%,Chinese Coffee Salome
11,6/28/92,26,"$130,427","$11,364",$0,,$0.00,$0.00,3340,0,6,0.0%,0.0%,Chinese Coffee Salome
12,7/05/92,27,"$95,845","$-34,582",$0,,$0.00,$0.00,2317,0,4,0.0%,0.0%,Chinese Coffee Salome
13,7/12/92,28,"$156,887","$61,042",$0,,$0.00,$0.00,3655,0,6,0.0%,0.0%,Chinese Coffee Salome
14,7/19/92,29,"$156,288",$-599,$0,,$0.00,$0.00,3653,0,6,0.0%,0.0%,Chinese Coffee Salome
15,7/26/92,30,"$133,017","$-23,271",$0,,$0.00,$0.00,3256,0,6,0.0%,0.0%,Chinese Coffee Salome
16,8/02/92,31,"$124,168","$-8,849",$0,,$0.00,$0.00,3131,0,6,0.0%,0.0%,Chinese Coffee Salome
7,1/01/12,1,"$393,198","$393,198","$1,000,269",39.31%,$71.86,$250.00,5472,9693,9,56.5%,0.0%,Chinglish
8,1/08/12,2,"$197,148","$-196,050","$857,343",23.00%,$67.06,$250.00,2940,8616,8,34.1%,34.1%,Chinglish
9,1/15/12,3,"$222,233","$25,085","$857,343",25.92%,$63.08,$250.00,3523,8616,8,40.9%,6.8%,Chinglish
10,1/22/12,4,"$250,298","$28,065","$857,343",29.19%,$55.77,$250.00,4488,8616,8,52.1%,11.2%,Chinglish
11,1/29/12,5,"$366,258","$115,960","$857,343",42.72%,$54.81,$250.00,6682,8616,8,77.6%,25.5%,Chinglish
7,1/01/06,1,"$381,836","$177,101","$649,083",58.83%,$67.22,$101.25,5680,7455,7,76.2%,31.2%,Chita Riverathe Dancer S Life
8,1/08/06,2,"$297,427","$-84,409","$649,083",45.82%,$62.35,$101.25,4770,7455,7,64.0%,-12.2%,Chita Riverathe Dancer S Life
9,1/15/06,3,"$311,599","$14,172","$649,083",48.01%,$60.49,$101.25,5151,7455,7,69.1%,5.1%,Chita Riverathe Dancer S Life
10,1/23/06,4,"$287,883","$-23,716","$741,809",38.81%,$62.72,$101.25,4590,8520,8,53.9%,-15.2%,Chita Riverathe Dancer S Life
11,1/29/06,5,"$338,623","$50,740","$741,809",45.65%,$62.81,$101.25,5391,8520,8,63.3%,9.4%,Chita Riverathe Dancer S Life
12,2/05/06,6,"$184,242","$-154,381","$649,083",28.38%,$61.35,$101.25,3003,7455,7,40.3%,-23.0%,Chita Riverathe Dancer S Life
13,2/12/06,7,"$162,025","$-22,217","$556,357",29.12%,$57.87,$101.25,2800,6390,6,43.8%,3.5%,Chita Riverathe Dancer S Life
14,2/19/06,8,"$292,850","$130,825","$649,083",45.12%,$57.57,$101.25,5087,7455,7,68.2%,24.4%,Chita Riverathe Dancer S Life
7,1/01/06,1,"$1,278,380","$763,324","$1,377,768",92.79%,$79.83,$201.25,16014,16263,9,98.5%,25.0%,Chitty Chitty Bang Bang
7,5/21/95,21,"$37,540","$37,540",$0,,$0.00,$0.00,2260,0,4,0.0%,0.0%,Chronicle Of A Death Foretold
8,5/28/95,22,"$52,526","$14,986",$0,,$0.00,$0.00,3567,0,5,0.0%,0.0%,Chronicle Of A Death Foretold
9,6/04/95,23,"$103,769","$51,243","$193,644",53.59%,$0.00,$55.00,4973,8192,8,60.7%,60.7%,Chronicle Of A Death Foretold
10,6/11/95,24,"$142,991","$39,222",$0,,$0.00,$55.00,6242,0,8,0.0%,-60.7%,Chronicle Of A Death Foretold
11,6/18/95,25,"$124,780","$-18,211",$0,,$0.00,$55.00,5865,0,8,0.0%,0.0%,Chronicle Of A Death Foretold
12,6/25/95,26,"$135,296","$10,516",$0,,$0.00,$55.00,6372,0,8,0.0%,0.0%,Chronicle Of A Death Foretold
13,7/02/95,27,"$135,916",$620,$0,,$0.00,$55.00,5785,0,8,0.0%,0.0%,Chronicle Of A Death Foretold
14,7/09/95,28,"$130,623","$-5,293",$0,,$0.00,$55.00,6025,0,8,0.0%,0.0%,Chronicle Of A Death Foretold
15,7/16/95,29,"$167,940","$37,317",$0,,$0.00,$55.00,7169,0,8,0.0%,0.0%,Chronicle Of A Death Foretold
7,3/19/89,12,"$35,802","$35,802",$0,,$0.00,$0.00,2012,0,5,0.0%,0.0%,Chu Chem
8,3/26/89,13,"$46,056","$10,254",$0,,$0.00,$0.00,4190,0,8,0.0%,0.0%,Chu Chem
9,4/02/89,14,"$42,305","$-3,751",$0,,$0.00,$0.00,2824,0,8,0.0%,0.0%,Chu Chem
10,4/09/89,15,"$42,305",$0,$0,,$0.00,$0.00,2824,0,8,0.0%,0.0%,Chu Chem
11,4/16/89,16,"$54,204","$11,899",$0,,$0.00,$0.00,3142,0,8,0.0%,0.0%,Chu Chem
12,4/23/89,17,"$34,912","$-19,292",$0,,$0.00,$0.00,1973,0,7,0.0%,0.0%,Chu Chem
13,4/30/89,18,"$45,956","$11,044",$0,,$0.00,$0.00,2553,0,8,0.0%,0.0%,Chu Chem
14,5/07/89,19,"$34,869","$-11,087",$0,,$0.00,$0.00,1931,0,8,0.0%,0.0%,Chu Chem
15,5/14/89,20,"$44,630","$9,761",$0,,$0.00,$0.00,2727,0,8,0.0%,0.0%,Chu Chem
7,1/04/15,1,"$1,873,246","$536,702","$1,349,936",138.77%,$119.24,$297.00,15710,15759,9,99.7%,4.9%,Cinderella
7,6/22/08,25,"$415,858","$415,858","$1,019,189",40.80%,$57.20,$200.00,7270,13936,8,52.2%,0.0%,Cirque Dreamsjungle Fantasy
8,6/29/08,26,"$509,842","$93,984","$1,019,189",50.02%,$51.95,$200.00,9814,13936,8,70.4%,70.4%,Cirque Dreamsjungle Fantasy
9,7/06/08,27,"$532,980","$23,138","$1,019,189",52.29%,$50.06,$200.00,10646,13936,8,76.4%,6.0%,Cirque Dreamsjungle Fantasy
10,7/13/08,28,"$479,811","$-53,169","$1,019,189",47.08%,$57.15,$200.00,8396,13936,8,60.2%,-16.2%,Cirque Dreamsjungle Fantasy
11,7/20/08,29,"$524,805","$44,994","$1,019,189",51.49%,$56.41,$200.00,9303,13936,8,66.8%,6.6%,Cirque Dreamsjungle Fantasy
